,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_reduce_dim,param_clf__n_estimators,param_clf__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_reduce_dim__n_components
5,2,2361.9131094614663,846.0233398325473,8.993089516957602,1.4696756242745108,20.0,SelectKBest(k=20),100,0.009000000000000001,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=20), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.5964154261367755,0.6003282112486946,0.5975367225178355,0.5980934533011019,0.0016451815921636837,3,0.6027267321686439,0.6071252088967026,0.6068472164459138,0.6055663858370868,0.0020111430693678686,
8,2,5988.808031082153,1304.6156095421104,19.504950841267906,3.8849481951171296,20.0,SelectKBest(k=50),250,0.005,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 250, 'clf__learning_rate': 0.005}",0.5960914957569019,0.5991440623424324,0.5962499513366539,0.5971618364786627,0.0014031373356248624,3,0.6028685753649503,0.6060137666941736,0.605694576492709,0.604858972850611,0.0014134431268763414,
20,1,8515.994426250458,2439.498661095502,20.598604440689087,3.930399182038273,30.0,SelectKBest(k=30),250,0.005,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 250, 'clf__learning_rate': 0.005}",0.5900461603021402,0.6022705532285574,0.5990948492807903,0.5971371876038293,0.0051790137436865296,3,0.6021033980817602,0.6097859906945309,0.6084203828597242,0.6067699238786717,0.003346497517261127,
13,1,7054.130704005559,2515.045879762178,27.270897706349693,2.538111598825349,20.0,SelectKBest(k=30),250,0.009000000000000001,"{'reduce_dim__k': 20, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 250, 'clf__learning_rate': 0.009}",0.5941679018102487,0.5952278808151523,0.588438352262016,0.5926113782958057,0.0029823367328012922,2,0.6030831881477442,0.6028373020035666,0.5980543545398395,0.6013249482303834,0.002314836540729392,
9,0,3586.634772698085,1226.0487987679867,5.1936717828114825,0.8480433494872529,50.0,SelectKBest(k=50),50,0.009000000000000001,"{'reduce_dim__k': 50, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.5775446863908841,0.5946411746045275,0.5987391441801648,0.5903083350585255,0.009179011716735451,1,0.5897156919283778,0.6035567698827934,0.6096592035765148,0.6009772217958953,0.00834371881374681,
14,2,14759.854029655457,4263.904624518334,21.229892333348587,1.1570290309842348,50.0,SelectKBest(k=30),250,0.009000000000000001,"{'reduce_dim__k': 50, 'reduce_dim': SelectKBest(k=30), 'clf__n_estimators': 250, 'clf__learning_rate': 0.009}",0.5997418085694967,0.5861803618801441,0.5713759027736629,0.5857660244077679,0.01158403814336171,3,0.6159835980123015,0.5997320957327165,0.5853769436782987,0.6003642124744389,0.012503106309011296,
27,2,3846.1021525065107,1128.8883564458922,10.13986905415853,1.5147000680926213,,PCA(n_components=0.91),100,0.009000000000000001,"{'reduce_dim__n_components': 0.91, 'reduce_dim': PCA(n_components=0.91), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6193989373800762,0.5776497750903006,0.5589443985811614,0.5853310370171795,0.025271052661617444,1,0.6113590077073305,0.5908323101149472,0.5774536074139011,0.5932149750787263,0.0139439798601795,0.91
10,2,2068.9529303709664,458.1127353445426,4.273776690165201,0.9367521235441498,30.0,SelectKBest(k=50),50,0.009000000000000001,"{'reduce_dim__k': 30, 'reduce_dim': SelectKBest(k=50), 'clf__n_estimators': 50, 'clf__learning_rate': 0.009}",0.5524503975284727,0.6014307589911148,0.6020166496732898,0.5852992687309592,0.02322889108317513,2,0.5673011594348906,0.6103053856976852,0.6126079327957409,0.5967381593094389,0.02083631688495369,
30,2,4321.141230662664,1102.580075901092,9.483434120814003,1.2384668496085924,,PCA(n_components=0.93),100,0.009000000000000001,"{'reduce_dim__n_components': 0.93, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6152869421987928,0.5785311763468699,0.556695677129718,0.5835045985584603,0.02417692125381421,1,0.6108798060947244,0.5915296395088406,0.5770754012072559,0.5931616156036069,0.013848753419938624,0.93
24,0,4910.434050798416,1669.0228593299973,10.437300682067873,1.5695061423819388,,PCA(n_components=0.93),100,0.009000000000000001,"{'reduce_dim__n_components': 0.93, 'reduce_dim': PCA(n_components=0.93), 'clf__n_estimators': 100, 'clf__learning_rate': 0.009}",0.6152869421987928,0.5785311763468699,0.556695677129718,0.5835045985584603,0.02417692125381421,1,0.6108798060947244,0.5915296395088406,0.5770754012072559,0.5931616156036069,0.013848753419938624,0.93
