,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_miss_value__strategy,param_clf__n_estimators,param_clf__min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
12,49.574267546335854,11.884362188430794,3.597560485204061,0.1736875225892574,25,constant,129,0.0017,"{'reduce_dim__k': 25, 'miss_value__strategy': 'constant', 'clf__n_estimators': 129, 'clf__min_weight_fraction_leaf': 0.0017}",0.5145926571398243,0.5035959194736962,0.5052225221423453,0.5078036995852885,0.004846229982737744,11,0.5292081822622343,0.5180109896589065,0.5212599820572175,0.5228263846594527,0.00470350885922571
1,47.200864473978676,10.872099274667145,3.4265236854553223,0.011890813726994546,40,mean,108,0.0017,"{'reduce_dim__k': 40, 'miss_value__strategy': 'mean', 'clf__n_estimators': 108, 'clf__min_weight_fraction_leaf': 0.0017}",0.5102096978369751,0.506949143982627,0.5048225869519445,0.507327142923849,0.0022154613246571637,12,0.5281656789329873,0.5229865730995491,0.5216802175540265,0.5242774898621876,0.0028006132531457934
3,63.179473320643105,12.266981541402913,4.244215170542399,0.1411676597568805,36,mean,151,0.0019,"{'reduce_dim__k': 36, 'miss_value__strategy': 'mean', 'clf__n_estimators': 151, 'clf__min_weight_fraction_leaf': 0.0019}",0.5111538269509212,0.5133045371435973,0.4973171650528931,0.5072585097158039,0.007084214323094608,13,0.5280192898378172,0.5279455391967541,0.5152252520382197,0.5237300270242636,0.00601385943532072
9,44.46362582842509,10.687186304806932,3.385359287261963,0.06851063513977035,23,constant,130,0.0015,"{'reduce_dim__k': 23, 'miss_value__strategy': 'constant', 'clf__n_estimators': 130, 'clf__min_weight_fraction_leaf': 0.0015}",0.5126677339615032,0.5046986770078744,0.5020308286030648,0.5064657465241474,0.004518690068858463,14,0.5273481967539084,0.5170239469852905,0.5178605585177308,0.5207442340856433,0.004682180539515964
10,43.879709800084434,9.692937611387583,3.3893822034200034,0.12962044258133082,42,constant,97,0.0013,"{'reduce_dim__k': 42, 'miss_value__strategy': 'constant', 'clf__n_estimators': 97, 'clf__min_weight_fraction_leaf': 0.0013}",0.5139688664744722,0.49590738012996294,0.5046695592026663,0.5048486019357005,0.007374657708143137,15,0.532824378878589,0.5168199390112133,0.5227717400971168,0.5241386859956397,0.006604893624388315
11,41.13220691680908,10.55264418230037,3.3884472052256265,0.0580413991203278,36,constant,93,0.0013,"{'reduce_dim__k': 36, 'miss_value__strategy': 'constant', 'clf__n_estimators': 93, 'clf__min_weight_fraction_leaf': 0.0013}",0.5106017005722744,0.508383898682908,0.4954558975884458,0.5048138322812094,0.006678715824200559,16,0.5286950669681754,0.525543967803753,0.5160003953852889,0.5234131433857391,0.005397158584208291
6,50.971169233322144,11.984595706131014,3.793546438217163,0.1328211902488601,28,constant,135,0.0014,"{'reduce_dim__k': 28, 'miss_value__strategy': 'constant', 'clf__n_estimators': 135, 'clf__min_weight_fraction_leaf': 0.0014}",0.5112744853710811,0.4995286357005444,0.49542410771379314,0.5020757429284729,0.00671686605457176,17,0.5275501081701771,0.5173389551369086,0.5133557944782643,0.5194149525951167,0.005977845731307705
19,48.57267427444458,11.757752274037747,3.7054127057393393,0.11820335816875532,25,constant,128,0.0013,"{'reduce_dim__k': 25, 'miss_value__strategy': 'constant', 'clf__n_estimators': 128, 'clf__min_weight_fraction_leaf': 0.0013}",0.5107892521013009,0.48858521404029115,0.49801492935895314,0.4991297985001817,0.009098975270334568,18,0.5267233864535054,0.5092962259899653,0.5161785824244726,0.5173993982893145,0.007166787936371536
0,131.93878134091696,71.93960977764951,6.188412030537923,0.9634953550084945,26,mean,191,0.0013,"{'reduce_dim__k': 26, 'miss_value__strategy': 'mean', 'clf__n_estimators': 191, 'clf__min_weight_fraction_leaf': 0.0013}",0.5087298493888606,0.4896995261157111,0.4934355382141796,0.4972883045729171,0.008232907847227407,19,0.52428173769734,0.5082387802952647,0.5120363573434618,0.5148522917786887,0.006845496602819682
13,33.281951347986855,8.11133592986019,2.9048455556233725,0.14612705316239405,40,mean,68,0.0015,"{'reduce_dim__k': 40, 'miss_value__strategy': 'mean', 'clf__n_estimators': 68, 'clf__min_weight_fraction_leaf': 0.0015}",0.5106936879205383,0.4935652768355145,0.4818794094573924,0.49537945807114836,0.01183312021417633,20,0.528108649671602,0.5142694351613434,0.5040454231035277,0.5154745026454911,0.009860657819423309
