,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_miss_value__strategy,param_clf__n_estimators,param_clf__min_weight_fraction_leaf,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
10,121.32843907674153,31.604054572040624,3.9776594638824463,0.019087465149694297,35,mean,90,0.0015,"{'reduce_dim__k': 35, 'miss_value__strategy': 'mean', 'clf__n_estimators': 90, 'clf__min_weight_fraction_leaf': 0.0015}",0.5042823846564264,0.49414239524223813,0.48944357446942455,0.49595611812269635,0.006192186741197364,11,0.5463416897668995,0.5360480306014075,0.5253328637085642,0.5359075280256237,0.008577392720312216
9,257.22408564885455,69.99429735488884,6.983221610387166,0.3788513696755986,34,constant,180,0.0011,"{'reduce_dim__k': 34, 'miss_value__strategy': 'constant', 'clf__n_estimators': 180, 'clf__min_weight_fraction_leaf': 0.0011}",0.5050348487754972,0.4926663276880354,0.48975271514307844,0.4958179638688704,0.006624978493149343,12,0.5535946411923993,0.542139015609742,0.5308813871911805,0.5422050146644405,0.009272764554952908
6,134.35144543647766,36.36031268614069,4.137067953745524,0.1540832983877085,25,mean,107,0.0019,"{'reduce_dim__k': 25, 'miss_value__strategy': 'mean', 'clf__n_estimators': 107, 'clf__min_weight_fraction_leaf': 0.0019}",0.5039325770849052,0.49245054207241856,0.488920398597818,0.4951011725850473,0.006408887439480689,13,0.541347036562074,0.5304513332375229,0.5217463000371028,0.5311815566122332,0.008018609094394731
5,136.88379979133606,40.60846285699828,4.272016525268555,0.16989898791659003,30,constant,109,0.0019,"{'reduce_dim__k': 30, 'miss_value__strategy': 'constant', 'clf__n_estimators': 109, 'clf__min_weight_fraction_leaf': 0.0019}",0.5053883656226869,0.4917594398873925,0.4878391869785918,0.49499566416289037,0.007521005182889753,14,0.5416032573500842,0.5298479784224607,0.5216079227522491,0.5310197195082647,0.008205001901237484
13,284.14962633450824,74.19614797780876,8.573179324467977,2.10816689035238,33,mean,186,0.0017,"{'reduce_dim__k': 33, 'miss_value__strategy': 'mean', 'clf__n_estimators': 186, 'clf__min_weight_fraction_leaf': 0.0017}",0.5058327800194086,0.491541638350149,0.48734279030884176,0.4949057362261331,0.007914450739569872,15,0.5437669833006182,0.5322356608551727,0.5216627671674233,0.532555137107738,0.009026835603639977
8,113.07490626970927,28.03166205423189,5.006723960240682,1.0767983610622678,22,constant,103,0.0017,"{'reduce_dim__k': 22, 'miss_value__strategy': 'constant', 'clf__n_estimators': 103, 'clf__min_weight_fraction_leaf': 0.0017}",0.5039671990347846,0.4928148159689222,0.4878221801844408,0.4948680650627158,0.006749186731271782,16,0.5423957816088583,0.5320064899630695,0.5219251202299171,0.5321091306006149,0.008357427660397867
2,254.8517745335897,65.39681175446476,7.276126225789388,0.2020037982075654,26,constant,199,0.0014,"{'reduce_dim__k': 26, 'miss_value__strategy': 'constant', 'clf__n_estimators': 199, 'clf__min_weight_fraction_leaf': 0.0014}",0.5040836620287173,0.49197646150475255,0.48715139127411416,0.49440383826919465,0.007122479282488309,17,0.5478233167302977,0.5359080520201246,0.5255902068197343,0.5364405251900523,0.009084435034031833
3,196.02183572451273,54.967389790193856,5.454146544138591,0.3052463638088746,28,mean,157,0.0015,"{'reduce_dim__k': 28, 'miss_value__strategy': 'mean', 'clf__n_estimators': 157, 'clf__min_weight_fraction_leaf': 0.0015}",0.5017391147867175,0.4927568635607321,0.4885922004383669,0.49436272626193883,0.005486008596545832,18,0.54476956965976,0.5353603770919002,0.5248336043267177,0.5349878503594593,0.008143085433456354
19,103.57766787211101,36.605640580601616,2.9964386622111,0.4798731281950634,25,constant,110,0.0019,"{'reduce_dim__k': 25, 'miss_value__strategy': 'constant', 'clf__n_estimators': 110, 'clf__min_weight_fraction_leaf': 0.0019}",0.5037044982645938,0.4896723674674997,0.4864004644902483,0.49325911007411394,0.007505817215577937,19,0.5419459642074321,0.529993953613173,0.5205395621296136,0.5308264933167396,0.008758932745025476
1,270.85450037320453,76.12031566230462,8.565402587254843,1.824348522676096,29,constant,184,0.0018,"{'reduce_dim__k': 29, 'miss_value__strategy': 'constant', 'clf__n_estimators': 184, 'clf__min_weight_fraction_leaf': 0.0018}",0.5028993796020118,0.48988506288937594,0.48494663776929203,0.4925770267535599,0.0075723284359403365,20,0.5410339224050374,0.530585889112425,0.519961069550745,0.530526960356069,0.008603057065307663
