,mean_fit_time,mean_score_time,mean_test_score,param_miss_values__strategy,param_reduce_dim,param_reduce_dim__k,param_reduce_dim__n_components,param_scaler,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
16,0.11384434700012207,0.024386024475097655,0.5503522284446477,constant,PCA(n_components=0.85),,0.95,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.95, 'scaler': StandardScaler()}",11,0.5188834154351396,0.37474541751527496,0.6041131105398457,0.6149506346967559,0.6390685640362226,0.01366401793812353,0.006924638498284549,0.09670761394200045
37,0.16430983543395997,0.017735624313354494,0.5483885067317563,constant,SelectKBest(),10,,RobustScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 10, 'scaler': RobustScaler()}",12,0.49293563579277866,0.5248,0.5672937771345876,0.578352180936995,0.5785609397944199,0.02077466764317947,0.00703010163076021,0.034050096278899995
36,0.08515830039978027,0.014999055862426757,0.5483885067317563,constant,SelectKBest(),10,,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 10, 'scaler': StandardScaler()}",12,0.49293563579277866,0.5248,0.5672937771345876,0.578352180936995,0.5785609397944199,0.00975382213549047,0.006657848295138457,0.034050096278899995
4,0.13165383338928222,0.02136340141296387,0.5477772667688141,mean,PCA(n_components=0.85),,0.95,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': PCA(n_components=0.85), 'reduce_dim__n_components': 0.95, 'scaler': StandardScaler()}",14,0.5158069883527455,0.35537190082644626,0.6064516129032258,0.6272352132049519,0.6340206185567011,0.018422836277434042,0.005199564047354467,0.10510574048944762
18,0.0677720546722412,0.019331884384155274,0.5403937958740335,mean,passthrough,,,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': 'passthrough', 'scaler': StandardScaler()}",15,0.526928675400291,0.4242424242424242,0.5722222222222223,0.5397923875432526,0.6387832699619773,0.007803622803091919,0.002402716441950461,0.06980880979985433
19,0.1417844772338867,0.01863398551940918,0.5403937958740335,mean,passthrough,,,RobustScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': 'passthrough', 'scaler': RobustScaler()}",15,0.526928675400291,0.4242424242424242,0.5722222222222223,0.5397923875432526,0.6387832699619773,0.006966552118066914,0.004482620374139003,0.06980880979985433
22,0.06357131004333497,0.01713595390319824,0.5394656773614547,constant,passthrough,,,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': 'passthrough', 'scaler': StandardScaler()}",17,0.5255474452554745,0.4228571428571429,0.573018080667594,0.5379310344827586,0.6379746835443038,0.0052641298925950155,0.002299337170345283,0.07017607954241213
23,0.1307377815246582,0.01652693748474121,0.5394656773614547,constant,passthrough,,,RobustScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': 'passthrough', 'scaler': RobustScaler()}",17,0.5255474452554745,0.4228571428571429,0.573018080667594,0.5379310344827586,0.6379746835443038,0.007340851737385921,0.004672651450315171,0.07017607954241213
29,0.16082701683044434,0.012369585037231446,0.5382929527923496,mean,SelectKBest(),30,,RobustScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 30, 'scaler': RobustScaler()}",19,0.5319767441860465,0.48543689320388345,0.5615491009681881,0.5147058823529412,0.5977961432506887,0.0076329232260123284,0.002136577357712307,0.038656139282109835
28,0.08152031898498535,0.014983654022216797,0.5382929527923496,mean,SelectKBest(),30,,StandardScaler(),"{'miss_values__strategy': 'mean', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 30, 'scaler': StandardScaler()}",19,0.5319767441860465,0.48543689320388345,0.5615491009681881,0.5147058823529412,0.5977961432506887,0.010794494600592047,0.00416403447833412,0.038656139282109835
40,0.08540711402893067,0.015778112411499023,0.5376242191932585,constant,SelectKBest(),30,,StandardScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 30, 'scaler': StandardScaler()}",21,0.5205882352941177,0.48622366288492713,0.5619834710743802,0.5201465201465202,0.5991792065663475,0.009384065755314414,0.003930465104402751,0.03903870264979399
41,0.15487828254699706,0.012262725830078125,0.5376242191932585,constant,SelectKBest(),30,,RobustScaler(),"{'miss_values__strategy': 'constant', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 30, 'scaler': RobustScaler()}",21,0.5205882352941177,0.48622366288492713,0.5619834710743802,0.5201465201465202,0.5991792065663475,0.00994009493372317,0.0028461793433356545,0.03903870264979399
35,0.2722383975982666,0.012100458145141602,0.5332645866920578,most_frequent,SelectKBest(),30,,RobustScaler(),"{'miss_values__strategy': 'most_frequent', 'reduce_dim': SelectKBest(), 'reduce_dim__k': 30, 'scaler': RobustScaler()}",23,0.5504840940525587,0.4765100671140939,0.5630252100840336,0.4615384615384615,0.614765100671141,0.008221235041119917,0.004071781765645294,0.056903870587767476
